population_size, max_generations, sequence, selection_type, tournament_size, has_crossover, crossover_type, has_mutation, umad_add_rate, umad_del_rate, has_elitism, genome, generations_taken, best_error, diversity, avg_size, time_taken, found_solution
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x + -1 x -1 + 1 -1 - 1 x + x 1 + * + - *], 10, 0, 0.962, 10.744, 35928.573167, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x / + 1 x x * x 1 + 1 + + -1 - +], 7, 0, 0.957, 11.175, 12641.925341, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x + 1 1 1 + + -1 - x 1 x + 1 * * +], 14, 0, 0.991, 15.927, 31130.481584, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x * + -1 - 1 + / + * -1 - + 1 +], 8, 0, 0.989, 13.078, 14322.907153, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 + + 1 + 1 + x x * x + +], 11, 0, 0.994, 12.428, 23077.608596, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 x + x x * + + 1 1 + +], 6, 0, 0.926, 10.621, 9666.191417, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 - 1 1 + + x x x * 1 + + + / +], 10, 0, 0.977, 13.005, 42133.994558, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x -1 - * -1 - -1 - -1 - -1 -], 8, 0, 0.924, 11.194, 30896.749326, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 * -1 -1 + - x + 1 + x x * +], 9, 0, 0.913, 10.538, 29703.48106, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 - 1 1 1 + + + x x * +], 5, 0, 0.82, 10.21, 16265.750634, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 1 1 x + + x x * + + -1 -], 6, 0, 0.906, 11.331, 25814.617452, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [/ x x * * 1 1 + 1 + + 0 1 + x + + + *], 11, 0, 0.991, 21.314, 26888.634783, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x x x * 1 + -1 - 1 + 1 + +], 6, 0, 0.949, 10.741, 9971.191281, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 + 1 + x x x * 1 + + +], 7, 0, 0.977, 12.815, 30686.853474, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x * x + + + - / 1 1 + + 1 + 1 +], 12, 0, 0.983, 12.963, 50874.941924, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 - 1 + + -1 - 1 x x * + + *], 7, 0, 0.96, 10.748, 11588.766129, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 + 1 + x + x x * + + +], 8, 0, 0.909, 10.702, 26955.862544, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x / 1 1 + x x * 1 + + x 1 / 1 + +], 7, 0, 0.911, 15.026, 12552.490952, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x * x x * x + 1 * 0 + 1 1 + 1 1 + + +], 7, 0, 0.983, 13.034, 12689.675052, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 x + x x * + + 1 + 1 +], 6, 0, 0.928, 11.38, 21138.067756, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x + 1 1 + 1 + x x * + +], 6, 0, 0.936, 10.745, 9948.106047, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 1 1 x + x x * + + + 1 +], 7, 0, 0.958, 11.625, 23374.989642, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 + -1 - x x * + x 1 + +], 8, 0, 0.985, 12.766, 13886.637589, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 x + -1 - -1 - x x * + +], 8, 0, 0.971, 12.139, 14640.517302, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 + 1 + 1 1 + x x * + + - /], 8, 0, 0.986, 12.192, 14880.747579, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 + + 1 x 1 x + * + + + +], 10, 0, 0.985, 12.338, 18909.051661, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 + 1 + 1 + x 1 + x * +], 6, 0, 0.949, 11.679, 23547.983533, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x * 1 + 1 1 + + + 1 + +], 6, 0, 0.93, 11.988, 19074.288108, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x x x * + + -1 - 1 + 1 +], 6, 0, 0.878, 11.062, 20350.658745, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x 1 1 + x x * + + 0 -1 - + +], 13, 0, 0.966, 12.254, 59472.999272, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x * 1 + + 1 1 + 1 + + + + *], 10, 0, 0.978, 13.684, 43268.792916, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x 1 1 + + x x * 1 / + -1 - + +], 23, 0, 0.993, 15.445, 55493.841637, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 x x 1 + * 1 + + 1 0 + + + *], 9, 0, 0.982, 12.635, 42226.470335, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 -1 x - x * - -1 - -1 - -1 -], 11, 0, 0.965, 11.025, 43408.435747, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 x 1 + x * + + + 1 + + 1 +], 8, 0, 0.968, 11.231, 32899.136349, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 + 1 1 + x 1 + + x x * + +], 8, 0, 0.978, 11.559, 36700.097655, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 + + / x 1 x + * 1 + +], 13, 0, 0.975, 11.457, 25397.35446, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 x + 1 + 1 + x x * 1 + +], 6, 0, 0.897, 9.868, 20888.282276, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 -1 - - 1 1 + x 1 + -1 x * * - +], 10, 0, 0.992, 12.969, 47095.765555, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 -1 - -1 - + x 1 x + * + 1 *], 10, 0, 0.968, 12.843, 37634.083078, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x * 1 + x + 1 + 1 + 1 +], 6, 0, 0.921, 11.97, 22630.082478, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 x x * x + + 1 + 1 + + / +], 8, 0, 0.968, 12.195, 29697.197954, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [+ x -1 - -1 1 - - x x * + 1 +], 7, 0, 0.896, 10.97, 28899.337627, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x x * x 1 + + + 1 + 1 +], 5, 0, 0.941, 10.699, 18966.482057, true
