genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[-1 -1 x x *], 300, 210, 0.002, 0.005, 583677.409158, false
[x x + x *], 300, 81, 0.002, 0.005, 590051.014787, false
[-1 + x x *], 300, 210, 0.002, 0.005, 584387.40392, false
[x / x x *], 300, 210, 0.002, 0.005, 582465.261431, false
[0 x + x *], 300, 210, 0.002, 0.005, 584327.594785, false
[x 1 + x *], 300, 175, 0.002, 0.005, 618600.31278, false
[- x * x *], 300, 210, 0.002, 0.005, 696895.114488, false
[0 x + x *], 300, 210, 0.002, 0.005, 719183.468503, false
[x 1 * x *], 300, 210, 0.002, 0.005, 728970.415119, false
[/ x x * /], 300, 210, 0.002, 0.005, 721916.177549, false
[x x x + *], 300, 81, 0.002, 0.005, 749578.165636, false
[x 1 x + *], 300, 175, 0.002, 0.005, 738389.399843, false
