genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[0 + x x *], 300, 210, 0.002, 0.005, 323237.506931, false
[x x * / *], 300, 210, 0.002, 0.005, 329600.952096, false
[x / + x *], 300, 210, 0.002, 0.005, 329966.315809, false
[x x * + -], 300, 210, 0.002, 0.005, 330066.228462, false
[x x x * +], 300, 175, 0.002, 0.005, 322473.949081, false
[x - x * -], 300, 210, 0.002, 0.005, 310797.64207, false
[x x + x *], 300, 81, 0.002, 0.005, 329199.397368, false
[x x 1 + *], 300, 175, 0.002, 0.005, 329213.221172, false
[0 x x * +], 300, 210, 0.002, 0.005, 332125.04219, false
[x -1 - x *], 300, 175, 0.002, 0.005, 315963.726277, false
[x + x * *], 300, 210, 0.002, 0.005, 318203.576168, false
[- + x x *], 300, 210, 0.002, 0.005, 313231.414743, false
[x x 0 - *], 300, 210, 0.002, 0.005, 318379.567361, false
[-1 0 x x *], 300, 210, 0.002, 0.005, 317899.752729, false
[x x * - +], 300, 210, 0.002, 0.005, 312683.425918, false
[1 x + x *], 300, 175, 0.002, 0.005, 312123.580149, false
[x x * * -], 300, 210, 0.002, 0.005, 334695.749412, false
[* x x * /], 300, 210, 0.002, 0.005, 582391.967316, false
[x - x * /], 300, 210, 0.002, 0.005, 323942.354299, false
[/ x x * +], 300, 210, 0.002, 0.005, 312448.991767, false
[x x 1 + *], 300, 175, 0.002, 0.005, 316207.075769, false
[x x * + *], 300, 210, 0.002, 0.005, 327504.297653, false
[-1 x x x *], 300, 210, 0.002, 0.005, 355159.230201, false
[/ x + x *], 300, 210, 0.002, 0.005, 317525.915631, false
[x x * 1 +], 300, 206, 0.002, 0.005, 310641.251569, false
[x - - x *], 300, 210, 0.002, 0.005, 311246.003168, false
[x * x * +], 300, 210, 0.002, 0.005, 309876.217794, false
[+ x - x *], 300, 210, 0.002, 0.005, 577471.251451, false
[/ * x x *], 300, 210, 0.002, 0.005, 311952.438338, false
[1 x + x *], 300, 175, 0.002, 0.005, 695429.724138, false
[x x * x +], 300, 175, 0.002, 0.005, 603692.47517, false
[1 x + x *], 300, 175, 0.002, 0.005, 729155.387174, false
[x x * -1 -], 300, 206, 0.002, 0.005, 719941.005416, false
[-1 / x x *], 300, 210, 0.002, 0.005, 590610.715433, false
[x 1 * x *], 300, 210, 0.002, 0.005, 716414.354213, false
[x x * * /], 300, 210, 0.002, 0.005, 709143.857104, false
[x * / x *], 300, 210, 0.002, 0.005, 567088.919692, false
[x x * x +], 300, 175, 0.002, 0.005, 593508.65114, false
[x x * -1 -], 300, 206, 0.002, 0.005, 582868.874343, false
[x * + x *], 300, 210, 0.002, 0.005, 578365.466556, false
[x x x + *], 300, 81, 0.002, 0.005, 743853.755224, false
[x x x + *], 300, 81, 0.002, 0.005, 556200.354854, false
[- x * x *], 300, 210, 0.002, 0.005, 755450.9719, false
[/ * x x *], 300, 210, 0.002, 0.005, 573974.60089, false
[x x * -1 -], 300, 206, 0.002, 0.005, 572256.484815, false
[x x * x +], 300, 175, 0.002, 0.005, 578426.539318, false
[x 1 + x *], 300, 175, 0.002, 0.005, 580619.676097, false
[x -1 - x *], 300, 175, 0.002, 0.005, 592744.639628, false
[/ x x * +], 300, 210, 0.002, 0.005, 579730.591374, false
[x + x * /], 300, 210, 0.002, 0.005, 693917.904027, false
[/ - x x *], 300, 210, 0.002, 0.005, 583013.7169, false
[x x * x +], 300, 175, 0.002, 0.005, 580558.241853, false
[x x + x *], 300, 81, 0.002, 0.005, 589934.528048, false
[1 x x * +], 300, 206, 0.002, 0.005, 577583.906335, false
[x x x + *], 300, 81, 0.002, 0.005, 554617.399463, false
[x x * x +], 300, 175, 0.002, 0.005, 712956.840769, false
[+ x / x *], 300, 210, 0.002, 0.005, 672237.106102, false
[x x x * +], 300, 175, 0.002, 0.005, 733438.212345, false
[x x x * +], 300, 175, 0.002, 0.005, 723478.341736, false
[x x * / *], 300, 210, 0.002, 0.005, 601364.250754, false
[1 / x x *], 300, 210, 0.002, 0.005, 308895.521613, false
[x x * -1 -], 300, 206, 0.002, 0.005, 579048.257827, false
[x x * x +], 300, 175, 0.002, 0.005, 730726.097053, false
[0 / x x *], 300, 210, 0.002, 0.005, 313076.118398, false
[x 1 + x *], 300, 175, 0.002, 0.005, 758017.006498, false
[x x 1 + *], 300, 175, 0.002, 0.005, 308250.257804, false
[x x + x *], 300, 81, 0.002, 0.005, 311447.692769, false
[* - x x *], 300, 210, 0.002, 0.005, 299203.475281, false
[1 x + x *], 300, 175, 0.002, 0.005, 313138.573868, false
[x 1 + x *], 300, 175, 0.002, 0.005, 339811.370335, false
[-1 1 x x *], 300, 210, 0.002, 0.005, 305962.302286, false
[1 0 x x *], 300, 210, 0.002, 0.005, 303613.698653, false
[+ - x x *], 300, 210, 0.002, 0.005, 329186.639779, false
[x x 1 + *], 300, 175, 0.002, 0.005, 742546.518458, false
[x x x * +], 300, 175, 0.002, 0.005, 304245.309125, false
[x + * x *], 300, 210, 0.002, 0.005, 307678.829185, false
[1 x + x *], 300, 175, 0.002, 0.005, 771529.493448, false
[- 1 x x *], 300, 210, 0.002, 0.005, 302824.55901, false
[x x -1 - *], 300, 175, 0.002, 0.005, 719734.170208, false
[+ 0 x x *], 300, 210, 0.002, 0.005, 310361.758619, false
[x x + x *], 300, 81, 0.002, 0.005, 342104.141514, false
[x / x * -], 300, 210, 0.002, 0.005, 318239.466658, false
[-1 + x x *], 300, 210, 0.002, 0.005, 312776.551246, false
[x x * * *], 300, 210, 0.002, 0.005, 308317.724764, false
[x x * 0 -], 300, 210, 0.002, 0.005, 312732.632293, false
[-1 1 x x *], 300, 210, 0.002, 0.005, 306849.558288, false
[x x + x *], 300, 81, 0.002, 0.005, 305828.100063, false
[x 1 x + *], 300, 175, 0.002, 0.005, 579057.262817, false
