population_size, max_generations, sequence, selection_type, tournament_size, has_crossover, crossover_type, has_mutation, umad_add_rate, umad_del_rate, has_elitism, genome, generations_taken, best_error, diversity, avg_size, time_taken, found_solution
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 1 + / 1 1 + * 1 + 1 1 + -1 - 1 + * 1 + + + +], 144, 0, 0.999, 27.755, 1401498.492432, true
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 + + + 1 + x 0 x / - * - + - * / * - -1 -], 300, 16, 0.999, 22.896, 2542883.525171, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [0 x x + x -1 x + / * -1 - x + 1 1 + x / / + + 1 1 x * / + x 0 + + + +], 300, 13, 1.0, 31.882, 3104296.83525, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 + x x + * x x -1 -1 + / + / 1 -1 - - - -1 - 1 + 1 +], 147, 0, 0.998, 23.211, 1486275.40838, true
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x / x -1 + / 1 -1 1 + + + x 0 1 + 1 1 + + -1 + / * -1 - x x 1 1 + x + + + + * + 0 + +], 300, 14, 1.0, 25.19, 2951769.68352, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x + 1 -1 - / x + 1 1 + * + 1 + + + 1 + 1 + x + +], 300, 15, 0.997, 26.017, 2922834.901406, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x -1 1 - / - + + 1 1 1 * 1 + + * 1 + x + - 1 x + + 1 +], 300, 14, 0.997, 21.706, 2923136.916796, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x 1 -1 0 x / -1 + - - - + 1 x x x + + + + + +], 300, 16, 0.999, 24.041, 2593653.181701, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x x 1 1 + / 1 1 + * x x + x 1 1 + x / / 1 + + 1 + + +], 300, 11, 0.999, 28.467, 3701870.439208, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x 1 1 1 -1 - x / / 1 + + + * x + 1 +], 300, 12, 0.995, 21.774, 2781206.875789, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 + 1 + x + + x / x * x 1 0 + + + x + + x + 1 /], 300, 15, 0.999, 24.316, 3627198.755422, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [- x x x * -1 x 1 + x 1 -1 - x / / + 1 x x + + + + +], 300, 13, 0.997, 24.071, 2793124.741427, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x + + 1 1 + / 0 x x / 1 + + * + - * + 1 1 1 x / * - x + + + 0 x 1 + + + 1 + + - x +], 300, 13, 1.0, 27.056, 3788288.533006, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x / x + x + x x -1 + / * + x x 1 x / - + + + 1 + / -], 300, 14, 0.999, 26.53, 3340098.783899, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [/ x x 1 1 + x / / + x + 1 1 + * 1 +], 300, 12, 1.0, 19.85, 2988591.665505, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 x 1 1 -1 0 - + - -1 / * / -1 - + - * -1 + - / x -1 + / x + * 1 + + / x + 1 * - + 1 / x + + + 1 + x + 0 / - *], 300, 15, 0.999, 27.667, 2972393.843315, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 + 1 1 + 1 + 1 x 1 1 + / + * * x + -1 +], 300, 5, 0.997, 24.044, 3096537.177426, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 * * x x -1 - 1 1 + / / + x * / / - x 1 x / / + x 1 + + + +], 300, 10, 1.0, 32.198, 3543736.668491, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 -1 - 1 + + * x / x -1 + * -1 - + x + / + x + + + + x x + +], 300, 13, 1.0, 28.457, 3544806.683704, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x + x x 1 + 1 x / x + + 1 1 1 1 + 1 / * x / / / -1 - * + + + x x / - -], 300, 12, 1.0, 33.921, 3817705.251454, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 x + / / + x * x 0 + + + 1 -1 - 1 * * 1 +], 300, 16, 1.0, 25.616, 2726087.194034, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x 1 1 + / 1 1 + * + 1 + - + 1 1 + * 1 + + /], 300, 10, 0.999, 23.334, 2894724.998437, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x + x * x x -1 -1 + / + / 1 - - - - + 1 + + 1 1 + * 1 / 1 + +], 95, 0, 1.0, 30.083, 1948145.456836, true
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x 1 -1 - x / / + 1 1 + * 1 + x + x +], 300, 12, 0.98, 19.045, 5110266.39804, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x / -1 * - x 0 - + x 1 1 + / 1 + 1 1 + 1 + 1 + * x 1 / + +], 300, 8, 1.0, 43.648, 4364067.297252, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [/ 1 * -1 - 1 1 + + 0 x / 0 * + 1 0 x 0 * - + -1 x + / x + * / - / -1 - -], 300, 12, 0.998, 30.947, 3503613.080233, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x -1 - 1 1 + / / x + 1 - - + 0 1 1 + 1 1 + + + * 1 +], 168, 0, 1.0, 30.472, 3777933.010482, true
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* x x 1 x / - + 1 1 + 1 -1 - x / + * -1 -], 300, 12, 1.0, 21.81, 2638479.346755, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 + 1 * -1 x / / x + 0 - + x + + -1 - + -1 - + -1 - 1 1 * x * 1 1 + / x 1 + 0 1 * - + +], 300, 12, 1.0, 33.797, 4054792.176985, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x 1 1 + 1 1 + x / / + * 1 x x + + +], 300, 12, 1.0, 21.237, 2683830.440856, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [0 1 x / / x * + x + 1 1 + / 1 1 + * -1 - + / 1 1 + 1 + 1 + * * 1 +], 106, 0, 0.998, 29.722, 1942477.801708, true
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [/ x * x + x x -1 + / * + * + 1 * 1 x x / 1 + + 1 -1 x x - / + - - - + -1 - x + -1 -1 - + x + -1 - + +], 300, 13, 1.0, 43.799, 3555301.353073, false
1000, 300, :A168392, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 x 1 1 + x x / - 1 + / x + 1 1 + * + 1 + x +], 300, 12, 0.999, 23.409, 5853155.492999, false
