genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x / x + +], 300, 120, 0.002, 0.005, 310167.167899, false
[1 - x x +], 300, 120, 0.002, 0.005, 307243.984404, false
[- x x + +], 300, 120, 0.002, 0.005, 308878.474141, false
[x / x + +], 300, 120, 0.002, 0.005, 328856.466463, false
[x - * x +], 300, 120, 0.002, 0.005, 310161.163702, false
[+ x - x +], 300, 120, 0.002, 0.005, 302778.802722, false
[x 0 x - -], 300, 120, 0.002, 0.005, 308349.827986, false
[- -1 x x +], 300, 120, 0.002, 0.005, 327946.4784, false
[-1 x + x *], 300, 106, 0.002, 0.005, 335751.43703, false
[x x 1 - *], 300, 106, 0.002, 0.005, 328013.377957, false
[x - + x +], 300, 120, 0.002, 0.005, 320245.868852, false
[x / x x +], 300, 120, 0.002, 0.005, 322350.294666, false
[* 0 x x +], 300, 120, 0.002, 0.005, 336569.369476, false
[* 0 x x +], 300, 120, 0.002, 0.005, 320360.318684, false
[/ 0 x x +], 300, 120, 0.002, 0.005, 309126.698765, false
[1 x + x +], 300, 110, 0.002, 0.005, 318037.178744, false
[+ x * x +], 300, 120, 0.002, 0.005, 310443.062366, false
[x x + 0 -], 300, 120, 0.002, 0.005, 309710.594612, false
[* 0 x x +], 300, 120, 0.002, 0.005, 310317.547208, false
[x 1 - x *], 300, 106, 0.002, 0.005, 322399.226611, false
[x -1 x - -], 300, 110, 0.002, 0.005, 311287.462754, false
[x 0 + x +], 300, 120, 0.002, 0.005, 324000.366175, false
[- x + x +], 300, 120, 0.002, 0.005, 309718.417937, false
[/ x - x +], 300, 120, 0.002, 0.005, 321086.196548, false
[0 - x x +], 300, 120, 0.002, 0.005, 325542.003522, false
[x -1 x + *], 300, 106, 0.002, 0.005, 323597.440902, false
[x x * x -], 300, 106, 0.002, 0.005, 314245.866412, false
[- + x x +], 300, 120, 0.002, 0.005, 312304.956581, false
[x -1 - x +], 300, 110, 0.002, 0.005, 325366.974341, false
[+ / x x +], 300, 120, 0.002, 0.005, 325164.223861, false
[x x + - -], 300, 120, 0.002, 0.005, 618423.145546, false
[1 x + x +], 300, 110, 0.002, 0.005, 626971.61832, false
[+ / x x +], 300, 120, 0.002, 0.005, 330943.036459, false
[x x x + +], 300, 75, 0.002, 0.005, 332543.620024, false
[+ + x x +], 300, 120, 0.002, 0.005, 629242.68998, false
[x x + 1 +], 300, 110, 0.002, 0.005, 622820.259479, false
[x -1 x + *], 300, 106, 0.002, 0.005, 636062.551621, false
[x / x x +], 300, 120, 0.002, 0.005, 353861.556711, false
[1 x + x +], 300, 110, 0.002, 0.005, 347262.541641, false
[x 1 + x +], 300, 110, 0.002, 0.005, 658557.755152, false
[x x x x +], 300, 120, 0.002, 0.005, 640301.132207, false
[1 x + x +], 300, 110, 0.002, 0.005, 621814.899202, false
[x 1 x + +], 300, 110, 0.002, 0.005, 622278.924272, false
[x -1 x + *], 300, 106, 0.002, 0.005, 326426.007608, false
[x x 0 + +], 300, 120, 0.002, 0.005, 636701.406348, false
[x x -1 / -], 300, 120, 0.002, 0.005, 610954.643717, false
[x + x + /], 300, 120, 0.002, 0.005, 619201.439646, false
[x -1 x - -], 300, 110, 0.002, 0.005, 328495.764974, false
[x x -1 - +], 300, 110, 0.002, 0.005, 639430.112866, false
[x -1 - x +], 300, 110, 0.002, 0.005, 641272.320054, false
[x x + - +], 300, 120, 0.002, 0.005, 618417.627448, false
[x - x + -], 300, 120, 0.002, 0.005, 614056.88489, false
[x x x + +], 300, 75, 0.002, 0.005, 622328.458363, false
[x x x + +], 300, 75, 0.002, 0.005, 606315.662974, false
[x -1 x + *], 300, 106, 0.002, 0.005, 651348.059156, false
[x * x + -], 300, 120, 0.002, 0.005, 599472.109666, false
[x / x + /], 300, 120, 0.002, 0.005, 596136.919807, false
[x 1 - x *], 300, 106, 0.002, 0.005, 578007.673292, false
[- x x x +], 300, 120, 0.002, 0.005, 313017.123841, false
[- -1 x x +], 300, 120, 0.002, 0.005, 313431.112219, false
[/ -1 x x +], 300, 120, 0.002, 0.005, 305742.518882, false
[x / x + +], 300, 120, 0.002, 0.005, 504847.604153, false
[-1 -1 x x +], 300, 120, 0.002, 0.005, 317647.314993, false
[/ / x x +], 300, 120, 0.002, 0.005, 315616.073487, false
[x - x + /], 300, 120, 0.002, 0.005, 323160.894566, false
[x 0 - x +], 300, 120, 0.002, 0.005, 342333.423795, false
[x -1 + x *], 300, 106, 0.002, 0.005, 314847.4893, false
[x -1 + x *], 300, 106, 0.002, 0.005, 330920.836145, false
[x x 1 - *], 300, 106, 0.002, 0.005, 458412.831613, false
[0 + x x +], 300, 120, 0.002, 0.005, 493972.317553, false
[0 / x x +], 300, 120, 0.002, 0.005, 452629.844863, false
[x 1 - x *], 300, 106, 0.002, 0.005, 423298.741681, false
[x 0 + x +], 300, 120, 0.002, 0.005, 440709.856673, false
[x x 1 * +], 300, 120, 0.002, 0.005, 429296.428397, false
[/ x * x +], 300, 120, 0.002, 0.005, 703993.679434, false
[0 - x x +], 300, 120, 0.002, 0.005, 709380.674639, false
[x x -1 - +], 300, 110, 0.002, 0.005, 688588.961213, false
[0 x x + +], 300, 120, 0.002, 0.005, 694292.044367, false
[x 0 x x +], 300, 120, 0.002, 0.005, 681941.398417, false
[x x + + +], 300, 120, 0.002, 0.005, 662924.565375, false
[x - / x +], 300, 120, 0.002, 0.005, 662490.729902, false
[x + x x +], 300, 120, 0.002, 0.005, 678020.323331, false
[- x x + +], 300, 120, 0.002, 0.005, 678534.694151, false
[0 x + x +], 300, 120, 0.002, 0.005, 670689.851786, false
[1 -1 - x *], 300, 120, 0.002, 0.005, 684275.401038, false
[x 1 - x *], 300, 106, 0.002, 0.005, 661653.602364, false
[x -1 x - -], 300, 110, 0.002, 0.005, 668558.278887, false
[+ / x x +], 300, 120, 0.002, 0.005, 703448.04983, false
[x x + 0 -], 300, 120, 0.002, 0.005, 706739.300519, false
[* x x x +], 300, 120, 0.002, 0.005, 655521.481428, false
[x x + -1 -], 300, 110, 0.002, 0.005, 629422.803829, false
[x x * - /], 300, 129, 0.002, 0.005, 685242.77906, false
[0 + x x +], 300, 120, 0.002, 0.005, 722330.717787, false
[x 1 x + +], 300, 110, 0.002, 0.005, 613857.218633, false
[x x + 1 +], 300, 110, 0.002, 0.005, 615798.192743, false
[x x + 1 *], 300, 120, 0.002, 0.005, 628729.583329, false
[/ x + x +], 300, 120, 0.002, 0.005, 635375.247268, false
[x -1 - x +], 300, 110, 0.002, 0.005, 616876.481343, false
[x x + + /], 300, 120, 0.002, 0.005, 627194.722318, false
[-1 x + x *], 300, 106, 0.002, 0.005, 629612.68022, false
