genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x x x + *], 300, 29317, 0.002, 0.005, 308546.144878, false
[x x * 1 +], 300, 29592, 0.002, 0.005, 307868.057715, false
[x x x + *], 300, 29317, 0.002, 0.005, 316837.007182, false
[+ x x * *], 300, 29602, 0.002, 0.005, 310418.936638, false
[x 1 x * *], 300, 29602, 0.002, 0.005, 305318.130582, false
[x x * + /], 300, 29602, 0.002, 0.005, 312615.498903, false
[x x x + *], 300, 29317, 0.002, 0.005, 316146.38591, false
[x 1 + x *], 300, 29557, 0.002, 0.005, 312546.293702, false
[x x * * +], 300, 29602, 0.002, 0.005, 314701.945829, false
[0 x x * +], 300, 29602, 0.002, 0.005, 319429.963784, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 316963.320124, false
[x x * -1 -], 300, 29592, 0.002, 0.005, 308930.815156, false
[- x + x *], 300, 29602, 0.002, 0.005, 314282.391262, false
[x x * / +], 300, 29602, 0.002, 0.005, 309974.391293, false
[0 x x x *], 300, 29602, 0.002, 0.005, 314462.27192, false
[x + / x *], 300, 29602, 0.002, 0.005, 321243.532124, false
[+ * x x *], 300, 29602, 0.002, 0.005, 321645.231355, false
[x x * * +], 300, 29602, 0.002, 0.005, 332671.642469, false
[x 1 x x *], 300, 29602, 0.002, 0.005, 312282.229178, false
[- x + x *], 300, 29602, 0.002, 0.005, 318444.572013, false
[x x * * /], 300, 29602, 0.002, 0.005, 307941.066265, false
[x x x + *], 300, 29317, 0.002, 0.005, 310087.757042, false
[x x -1 - *], 300, 29557, 0.002, 0.005, 308401.263847, false
[0 -1 x x *], 300, 29602, 0.002, 0.005, 570811.028888, false
[* + x x *], 300, 29602, 0.002, 0.005, 557216.691826, false
[1 x + x +], 300, 29787, 0.002, 0.005, 585469.768479, false
[* x / x *], 300, 29602, 0.002, 0.005, 608187.886294, false
[* x + x *], 300, 29602, 0.002, 0.005, 304236.188387, false
[0 - x x *], 300, 29602, 0.002, 0.005, 601100.03443, false
[x * * x *], 300, 29602, 0.002, 0.005, 609041.215251, false
[0 + x x *], 300, 29602, 0.002, 0.005, 597088.255797, false
[1 + x x *], 300, 29602, 0.002, 0.005, 580258.7521, false
[* 1 x x *], 300, 29602, 0.002, 0.005, 312052.60107, false
[/ - x x *], 300, 29602, 0.002, 0.005, 581681.113301, false
[/ + x x *], 300, 29602, 0.002, 0.005, 624649.322632, false
[x - * x *], 300, 29602, 0.002, 0.005, 604220.073738, false
[-1 + x x *], 300, 29602, 0.002, 0.005, 572784.555657, false
[+ - x x *], 300, 29602, 0.002, 0.005, 605374.445018, false
[+ + x x *], 300, 29602, 0.002, 0.005, 634708.336026, false
[x x * 1 +], 300, 29592, 0.002, 0.005, 621888.760503, false
[x x * x *], 300, 27862, 0.002, 0.005, 644631.354504, false
[* 0 x x *], 300, 29602, 0.002, 0.005, 616295.678842, false
[x 1 / x *], 300, 29602, 0.002, 0.005, 657512.270181, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 603031.152517, false
[x x * - -], 300, 29602, 0.002, 0.005, 691554.086463, false
[x 0 + x *], 300, 29602, 0.002, 0.005, 729126.898824, false
[1 x * x *], 300, 29602, 0.002, 0.005, 707460.397971, false
[- x / x *], 300, 29602, 0.002, 0.005, 308697.035554, false
[- x x * +], 300, 29602, 0.002, 0.005, 306549.564537, false
[x / + x *], 300, 29602, 0.002, 0.005, 312316.000393, false
