genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x x * -1 -], 300, 29592, 0.002, 0.005, 717258.23907, false
[1 - x x *], 300, 29602, 0.002, 0.005, 316341.977935, false
[x x x + *], 300, 29317, 0.002, 0.005, 306351.569969, false
[+ x * x *], 300, 29602, 0.002, 0.005, 305139.864331, false
[x -1 - x *], 300, 29557, 0.002, 0.005, 705080.487799, false
[x / x * /], 300, 29602, 0.002, 0.005, 314189.569185, false
[1 x x * +], 300, 29592, 0.002, 0.005, 713094.550022, false
[x 1 x x *], 300, 29602, 0.002, 0.005, 710136.888229, false
[+ x / x *], 300, 29602, 0.002, 0.005, 317750.709726, false
[- * x x *], 300, 29602, 0.002, 0.005, 318411.264568, false
[x x * x *], 300, 27862, 0.002, 0.005, 317741.550045, false
[- * x x *], 300, 29602, 0.002, 0.005, 316570.351044, false
[* x + x *], 300, 29602, 0.002, 0.005, 730750.386742, false
[+ x / x *], 300, 29602, 0.002, 0.005, 707845.04373, false
[/ x / x *], 300, 29602, 0.002, 0.005, 733177.213155, false
[* x / x *], 300, 29602, 0.002, 0.005, 313880.224933, false
[0 -1 x x *], 300, 29602, 0.002, 0.005, 309634.631054, false
[1 / x x *], 300, 29602, 0.002, 0.005, 725563.13804, false
[x x + x *], 300, 29317, 0.002, 0.005, 316079.375263, false
[x x * 0 +], 300, 29602, 0.002, 0.005, 736554.952909, false
[x 1 x x *], 300, 29602, 0.002, 0.005, 313854.590733, false
[-1 x x x *], 300, 29602, 0.002, 0.005, 744826.94515, false
[- x * x *], 300, 29602, 0.002, 0.005, 304823.470857, false
[+ x x * /], 300, 29602, 0.002, 0.005, 753040.369138, false
[x * * x *], 300, 29602, 0.002, 0.005, 704360.565222, false
[x x * -1 -], 300, 29592, 0.002, 0.005, 308807.435432, false
[+ x x * -], 300, 29602, 0.002, 0.005, 711379.779412, false
[x x * 0 +], 300, 29602, 0.002, 0.005, 717620.43293, false
[x 1 + x *], 300, 29557, 0.002, 0.005, 314545.964899, false
[/ + x x *], 300, 29602, 0.002, 0.005, 711385.51114, false
[+ 0 x x *], 300, 29602, 0.002, 0.005, 315777.252024, false
[- x x * -], 300, 29602, 0.002, 0.005, 723336.255183, false
[x x 0 + *], 300, 29602, 0.002, 0.005, 700199.167687, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 701157.926953, false
[x x 0 - *], 300, 29602, 0.002, 0.005, 718969.570367, false
[1 x x * +], 300, 29592, 0.002, 0.005, 708223.100514, false
[x * x * -], 300, 29602, 0.002, 0.005, 782789.084701, false
[x - * x *], 300, 29602, 0.002, 0.005, 640064.326521, false
[x * x * /], 300, 29602, 0.002, 0.005, 715260.136376, false
[-1 * x x *], 300, 29602, 0.002, 0.005, 706220.326479, false
[+ / x x *], 300, 29602, 0.002, 0.005, 753419.641474, false
[- x / x *], 300, 29602, 0.002, 0.005, 730879.717684, false
[x x * x *], 300, 27862, 0.002, 0.005, 633957.375977, false
[x - x * *], 300, 29602, 0.002, 0.005, 731027.878771, false
[x 1 + x *], 300, 29557, 0.002, 0.005, 632736.307733, false
[x + + x *], 300, 29602, 0.002, 0.005, 634464.495538, false
[-1 * x x *], 300, 29602, 0.002, 0.005, 767480.376962, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 621100.027354, false
[* -1 x x *], 300, 29602, 0.002, 0.005, 710501.681252, false
[* 1 x x *], 300, 29602, 0.002, 0.005, 637592.363632, false
