genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x x + - *], 300, 120, 0.002, 0.005, 307727.813567, false
[* x x x +], 300, 120, 0.002, 0.005, 312238.845553, false
[x x x + +], 300, 75, 0.002, 0.005, 312112.933961, false
[x / x + +], 300, 120, 0.002, 0.005, 310322.055241, false
[x x + * +], 300, 120, 0.002, 0.005, 309213.574915, false
[x x 1 - *], 300, 106, 0.002, 0.005, 316205.804914, false
[1 x + x +], 300, 110, 0.002, 0.005, 318462.459221, false
[/ + x x +], 300, 120, 0.002, 0.005, 319428.25071, false
[x x 1 + +], 300, 110, 0.002, 0.005, 316320.814438, false
[-1 1 x x +], 300, 120, 0.002, 0.005, 317415.143727, false
[x / - x +], 300, 120, 0.002, 0.005, 310396.324548, false
[+ x - x +], 300, 120, 0.002, 0.005, 327273.254497, false
[x x + 1 +], 300, 110, 0.002, 0.005, 321309.792031, false
[-1 -1 x x +], 300, 120, 0.002, 0.005, 331143.13766, false
[/ / x x +], 300, 120, 0.002, 0.005, 322203.491419, false
[* / x x +], 300, 120, 0.002, 0.005, 355024.060899, false
[x x + 1 +], 300, 110, 0.002, 0.005, 310091.615875, false
[-1 x + x *], 300, 106, 0.002, 0.005, 319078.287003, false
[0 x x x +], 300, 120, 0.002, 0.005, 320137.174194, false
[x -1 x + *], 300, 106, 0.002, 0.005, 319573.485034, false
[0 * x x +], 300, 120, 0.002, 0.005, 315015.954499, false
[x x + -1 -], 300, 110, 0.002, 0.005, 318410.019716, false
[0 - x x +], 300, 120, 0.002, 0.005, 310221.418159, false
[1 * x x +], 300, 120, 0.002, 0.005, 322580.526763, false
[+ x x + -], 300, 120, 0.002, 0.005, 321110.940292, false
[- + x x +], 300, 120, 0.002, 0.005, 317102.850362, false
[1 x x + +], 300, 110, 0.002, 0.005, 316546.60664, false
[x + x + +], 300, 120, 0.002, 0.005, 314143.572275, false
[x x * x -], 300, 106, 0.002, 0.005, 316291.315784, false
[1 + x x +], 300, 120, 0.002, 0.005, 615406.306792, false
[x 1 x x +], 300, 120, 0.002, 0.005, 611455.600915, false
[+ x x + /], 300, 120, 0.002, 0.005, 323579.623968, false
[x -1 - x +], 300, 110, 0.002, 0.005, 324526.747557, false
[-1 -1 x x +], 300, 120, 0.002, 0.005, 619899.378281, false
[-1 x + x *], 300, 106, 0.002, 0.005, 625698.372273, false
[x x + + /], 300, 120, 0.002, 0.005, 318928.983625, false
[x x + 1 +], 300, 110, 0.002, 0.005, 654224.558285, false
[/ / x x +], 300, 120, 0.002, 0.005, 614115.137627, false
[0 0 x x +], 300, 120, 0.002, 0.005, 663979.089651, false
[1 x x + +], 300, 110, 0.002, 0.005, 327602.546128, false
[* x x + -], 300, 120, 0.002, 0.005, 639687.525477, false
[x x x + +], 300, 75, 0.002, 0.005, 659820.214563, false
[x * - x +], 300, 120, 0.002, 0.005, 652933.677377, false
[x x x + +], 300, 75, 0.002, 0.005, 645037.070823, false
[x - x + +], 300, 120, 0.002, 0.005, 633196.774562, false
