genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[/ + x x +], 300, 120, 0.002, 0.005, 624940.274349, false
[x -1 + x *], 300, 106, 0.002, 0.005, 680539.199725, false
[* x x x +], 300, 120, 0.002, 0.005, 627829.667854, false
[x 0 + x +], 300, 120, 0.002, 0.005, 634516.972695, false
[x -1 x + *], 300, 106, 0.002, 0.005, 637522.156849, false
[x x 1 / +], 300, 120, 0.002, 0.005, 647000.046449, false
[x -1 x + *], 300, 106, 0.002, 0.005, 653834.549141, false
[- / x x +], 300, 120, 0.002, 0.005, 680788.274362, false
[0 -1 x x +], 300, 120, 0.002, 0.005, 647131.020944, false
[* x / x +], 300, 120, 0.002, 0.005, 309408.588494, false
[* x x x +], 300, 120, 0.002, 0.005, 623578.017822, false
[x 1 + x +], 300, 110, 0.002, 0.005, 316801.345064, false
[+ x / x +], 300, 120, 0.002, 0.005, 303924.314303, false
[x x 1 + +], 300, 110, 0.002, 0.005, 328639.714524, false
[* x x + *], 300, 120, 0.002, 0.005, 330040.460431, false
[* x x + /], 300, 120, 0.002, 0.005, 318207.612362, false
[x x * x -], 300, 106, 0.002, 0.005, 326437.295948, false
[x x + x +], 300, 75, 0.002, 0.005, 325160.202014, false
[x x -1 + *], 300, 106, 0.002, 0.005, 690627.669536, false
[+ + x x +], 300, 120, 0.002, 0.005, 686558.635991, false
[x x x x +], 300, 120, 0.002, 0.005, 716360.790979, false
[-1 x + x *], 300, 106, 0.002, 0.005, 704870.766721, false
[+ 0 x x +], 300, 120, 0.002, 0.005, 613000.720065, false
[x x * x -], 300, 106, 0.002, 0.005, 691052.717999, false
[0 -1 x x +], 300, 120, 0.002, 0.005, 719959.662345, false
[x 1 - x *], 300, 106, 0.002, 0.005, 678255.853154, false
[-1 0 x x +], 300, 120, 0.002, 0.005, 684873.853656, false
[0 x x x +], 300, 120, 0.002, 0.005, 683465.421882, false
[x x x + +], 300, 75, 0.002, 0.005, 679957.977785, false
[x x x + +], 300, 75, 0.002, 0.005, 684531.010172, false
[/ x x + *], 300, 120, 0.002, 0.005, 689924.890012, false
[x * / x +], 300, 120, 0.002, 0.005, 672640.318359, false
[x x + 1 +], 300, 110, 0.002, 0.005, 663929.282093, false
[x 1 + x +], 300, 110, 0.002, 0.005, 722377.044024, false
[x -1 x - -], 300, 110, 0.002, 0.005, 720798.151827, false
[* x x + -], 300, 120, 0.002, 0.005, 628165.926432, false
[x -1 x + *], 300, 106, 0.002, 0.005, 698130.043488, false
[x x x + +], 300, 75, 0.002, 0.005, 733662.617511, false
[- x x x +], 300, 120, 0.002, 0.005, 648984.585651, false
[x x * x -], 300, 106, 0.002, 0.005, 680695.87306, false
[+ 0 x x +], 300, 120, 0.002, 0.005, 656646.1019, false
[x + x + *], 300, 120, 0.002, 0.005, 734145.920346, false
[* x - x +], 300, 120, 0.002, 0.005, 714705.715101, false
[x -1 x - -], 300, 110, 0.002, 0.005, 662031.431652, false
[1 -1 x x +], 300, 120, 0.002, 0.005, 634705.923783, false
[* / x x +], 300, 120, 0.002, 0.005, 714557.287162, false
[x 1 x + +], 300, 110, 0.002, 0.005, 620940.331566, false
[x 1 - x *], 300, 106, 0.002, 0.005, 647975.806659, false
[+ 0 x x +], 300, 120, 0.002, 0.005, 726482.019005, false
[x * x + *], 300, 120, 0.002, 0.005, 719796.905653, false
[* x * x +], 300, 120, 0.002, 0.005, 702591.010568, false
[x x -1 + *], 300, 106, 0.002, 0.005, 692082.672006, false
[x x -1 * -], 300, 120, 0.002, 0.005, 696972.096597, false
[x -1 x + *], 300, 106, 0.002, 0.005, 702539.845249, false
[-1 x + x *], 300, 106, 0.002, 0.005, 711748.772133, false
