population_size, max_generations, sequence, selection_type, tournament_size, has_crossover, crossover_type, has_mutation, umad_add_rate, umad_del_rate, has_elitism, genome, generations_taken, best_error, diversity, avg_size, time_taken, found_solution
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 1 + -1 1 - - * - x 0 x / + * + 1 +], 300, 16, 0.986, 22.003, 2342906.181397, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [- x x + x x * + + 1 x + 1 1 + / / -1 + - x x + + 1 +], 300, 7, 0.991, 23.746, 2663853.910031, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x - 1 x x x 1 1 + / - / * x * + x x + + + -1 -], 300, 11, 0.97, 20.395, 2438336.684746, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x x x -1 -1 + / + / / x * x + * 1 + x + x +], 300, 12, 0.991, 25.024, 2217526.569234, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x -1 x + / + / 1 + / * * 1 1 + x * * 1 +], 300, 16, 0.976, 18.988, 2251047.500276, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [-1 -1 x / / 1 - + -1 * 1 1 + + x -1 - * 1 +], 300, 16, 0.977, 18.892, 2405218.586015, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x * 1 0 - 1 + / 1 x x 1 0 1 + + + 1 1 + 0 1 -1 x / / + / 0 - + x + + + -1 - + +], 300, 12, 0.998, 34.781, 2496004.390877, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [* 1 1 + - / x x 1 + * x x 1 1 + / - / * 1 + +], 300, 2, 0.988, 21.706, 2834849.176499, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [0 x x x 1 -1 - x / / 1 + 1 + * x + 1 + +], 300, 12, 0.976, 19.417, 2535699.699891, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x x x * x 1 1 -1 -1 + 1 x * / / + - x + + 1 x + + x +], 300, 12, 0.996, 24.682, 2649534.834748, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [0 + -1 1 x x x x 1 1 + / - / -1 - 1 + * + 1 x * + + 1 +], 300, 11, 0.998, 25.004, 2780913.558393, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [+ + + + * + + 1 1 + 1 0 + + + + / -1 - x 1 x x 1 1 -1 x + / * / + + x + + +], 300, 12, 0.996, 31.784, 2331903.300634, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x -1 x + / + / x * x + 1 1 + * 1 +], 300, 16, 0.992, 20.689, 2183955.466848, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 x 1 + + 1 1 -1 * - * x + / x / / x * + -1 - x +], 300, 15, 1.0, 24.81, 5713760.137549, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [* + x x + + x x 0 1 x 1 x x / / - / / / - x + + x + + 1 +], 300, 14, 0.993, 25.915, 2451387.197964, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [+ 0 0 -1 - / -1 1 - x / - x + x + x -1 + -1 x + / 1 + * - 1 +], 300, 14, 0.994, 27.025, 3170251.024033, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 * 1 + 1 + * 1 + x x x / 1 / * * - 1 + / + /], 300, 16, 0.993, 20.493, 2286231.699453, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x + -1 x x + + x x 1 - / * x + 1 0 1 + + + 1 + x +], 300, 15, 0.99, 22.222, 2263864.318303, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x + / x + x x -1 + / * 1 + x + * x + -], 300, 16, 0.979, 19.849, 5211940.272296, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [/ x x + + x -1 x + / * x + 1 0 + + + x +], 300, 16, 0.979, 19.695, 2453613.08144, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [/ x x * / x x 1 x 1 1 x x x / - / / * + x + + + +], 300, 14, 0.992, 23.064, 2533221.325148, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [+ 1 1 -1 x x -1 + / * / / - 1 + 0 - x x + + 1 1 1 + * * -1 -], 300, 12, 0.995, 29.313, 2766124.549124, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 + 1 + + x 1 + * x / x * + 1 +], 300, 15, 0.986, 21.148, 2455618.912498, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x x * * x x + 1 0 -1 1 1 + x / / - - - + x x 1 + + +], 300, 12, 0.991, 26.846, 3138458.227821, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x x -1 1 - / - - 1 + 1 1 + * x +], 300, 15, 0.987, 20.064, 5460488.32311, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 + / 1 -1 - + 1 x -1 1 - / - 1 1 + * * x -1 + +], 300, 5, 0.994, 26.168, 2645222.925344, false
1000, 300, :A168392, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x + x x 1 + 1 1 + / / * x + x + x + -1 -], 300, 12, 0.984, 22.142, 6624010.298728, false
