genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x / - x *], 300, 210, 0.002, 0.005, 302297.283349, false
[x x x * +], 300, 175, 0.002, 0.005, 304665.35611, false
[1 x x * +], 300, 206, 0.002, 0.005, 308648.285187, false
[x x 0 - *], 300, 210, 0.002, 0.005, 301635.05319, false
[x * x x *], 300, 210, 0.002, 0.005, 309692.687363, false
[x x + x *], 300, 81, 0.002, 0.005, 314500.690239, false
[x x * -1 -], 300, 206, 0.002, 0.005, 305249.33405, false
[- 0 x x *], 300, 210, 0.002, 0.005, 306281.785461, false
[1 + x x *], 300, 210, 0.002, 0.005, 307316.725895, false
[- x x * +], 300, 210, 0.002, 0.005, 302686.248909, false
[1 x + x *], 300, 175, 0.002, 0.005, 302040.833069, false
[x 1 x + *], 300, 175, 0.002, 0.005, 310060.730793, false
[- + x x *], 300, 210, 0.002, 0.005, 313725.121541, false
[* x x * +], 300, 210, 0.002, 0.005, 303901.09964, false
[+ x / x *], 300, 210, 0.002, 0.005, 307809.475104, false
[x x 1 + *], 300, 175, 0.002, 0.005, 343141.58055, false
[0 - x x *], 300, 210, 0.002, 0.005, 309351.35596, false
[x + x * -], 300, 210, 0.002, 0.005, 330246.101055, false
[x x * / +], 300, 210, 0.002, 0.005, 317086.689224, false
[/ 0 x x *], 300, 210, 0.002, 0.005, 317482.234267, false
[x 1 + x *], 300, 175, 0.002, 0.005, 311793.089257, false
[-1 - x x *], 300, 210, 0.002, 0.005, 311313.002597, false
[0 x x x *], 300, 210, 0.002, 0.005, 306848.789482, false
[1 x + x *], 300, 175, 0.002, 0.005, 572599.979692, false
[x x * 1 +], 300, 206, 0.002, 0.005, 575929.081658, false
[- -1 x x *], 300, 210, 0.002, 0.005, 301184.013084, false
[x x 1 + *], 300, 175, 0.002, 0.005, 579608.470956, false
[-1 0 x x *], 300, 210, 0.002, 0.005, 562986.375714, false
[x x -1 - *], 300, 175, 0.002, 0.005, 571917.31663, false
[x -1 - x *], 300, 175, 0.002, 0.005, 300168.980583, false
[x x x + *], 300, 81, 0.002, 0.005, 586424.242475, false
[x x * 0 +], 300, 210, 0.002, 0.005, 564135.777971, false
[x x * 1 +], 300, 206, 0.002, 0.005, 575828.076555, false
[* * x x *], 300, 210, 0.002, 0.005, 597031.220901, false
[x x * + *], 300, 210, 0.002, 0.005, 590696.970139, false
[+ x x * *], 300, 210, 0.002, 0.005, 584207.380938, false
[x x x + *], 300, 81, 0.002, 0.005, 570660.935124, false
[x x + x *], 300, 81, 0.002, 0.005, 587930.547663, false
[1 x x * +], 300, 206, 0.002, 0.005, 586414.964765, false
[+ x x * +], 300, 210, 0.002, 0.005, 591856.349019, false
[x x * -1 -], 300, 206, 0.002, 0.005, 586997.594657, false
[-1 * x x *], 300, 210, 0.002, 0.005, 597665.467814, false
[0 1 x x *], 300, 210, 0.002, 0.005, 577130.722809, false
[x x * 1 /], 300, 210, 0.002, 0.005, 573850.016456, false
[x / x * +], 300, 210, 0.002, 0.005, 599227.954367, false
[-1 * x x *], 300, 210, 0.002, 0.005, 555967.068754, false
[x x * + *], 300, 210, 0.002, 0.005, 687530.83227, false
[x x 1 + *], 300, 175, 0.002, 0.005, 693413.249823, false
[/ x - x *], 300, 210, 0.002, 0.005, 706292.659725, false
[x - x * +], 300, 210, 0.002, 0.005, 718578.7737, false
[x x * - +], 300, 210, 0.002, 0.005, 691228.760923, false
[/ x x x *], 300, 210, 0.002, 0.005, 580301.501951, false
[/ x / x *], 300, 210, 0.002, 0.005, 698962.462131, false
[x 0 - x *], 300, 210, 0.002, 0.005, 715229.729611, false
[+ x x * *], 300, 210, 0.002, 0.005, 745799.599854, false
[- x + x *], 300, 210, 0.002, 0.005, 713722.241107, false
[* x x x *], 300, 210, 0.002, 0.005, 711848.608506, false
[x x * x +], 300, 175, 0.002, 0.005, 736060.190021, false
[x x * 1 +], 300, 206, 0.002, 0.005, 315497.779358, false
[x x -1 - *], 300, 175, 0.002, 0.005, 747881.63691, false
[x x x * +], 300, 175, 0.002, 0.005, 749095.515931, false
[0 0 x x *], 300, 210, 0.002, 0.005, 309081.468624, false
[- x x * -], 300, 210, 0.002, 0.005, 316025.303412, false
[0 * x x *], 300, 210, 0.002, 0.005, 306466.060148, false
[x x * x +], 300, 175, 0.002, 0.005, 309461.679433, false
[x x 1 / *], 300, 210, 0.002, 0.005, 316076.988418, false
[- + x x *], 300, 210, 0.002, 0.005, 306871.808437, false
[x / * x *], 300, 210, 0.002, 0.005, 725548.819095, false
[+ x x * +], 300, 210, 0.002, 0.005, 316831.695406, false
[x x * x +], 300, 175, 0.002, 0.005, 318881.21771, false
[1 x + x *], 300, 175, 0.002, 0.005, 318303.589636, false
[x x + x *], 300, 81, 0.002, 0.005, 320779.636484, false
[* x x * *], 300, 210, 0.002, 0.005, 312927.964299, false
[x x x + *], 300, 81, 0.002, 0.005, 712129.54215, false
[x -1 - x *], 300, 175, 0.002, 0.005, 325584.681995, false
[x 1 x + *], 300, 175, 0.002, 0.005, 319505.610521, false
[x x * -1 -], 300, 206, 0.002, 0.005, 827996.973252, false
[- x + x *], 300, 210, 0.002, 0.005, 337898.968017, false
[x 1 + x *], 300, 175, 0.002, 0.005, 317590.666148, false
[- x x x *], 300, 210, 0.002, 0.005, 747829.831621, false
[x x * * /], 300, 210, 0.002, 0.005, 322287.123829, false
[x x 1 + *], 300, 175, 0.002, 0.005, 316796.488096, false
[x x x * +], 300, 175, 0.002, 0.005, 732824.977592, false
[x x * - *], 300, 210, 0.002, 0.005, 339530.905955, false
[x x x + *], 300, 81, 0.002, 0.005, 712873.74008, false
[x x x + *], 300, 81, 0.002, 0.005, 307360.386266, false
[x x * - -], 300, 210, 0.002, 0.005, 314276.05137, false
[x x + x *], 300, 81, 0.002, 0.005, 742590.829962, false
[x 1 + x *], 300, 175, 0.002, 0.005, 720533.322293, false
[- x x * *], 300, 210, 0.002, 0.005, 729345.725994, false
[x + / x *], 300, 210, 0.002, 0.005, 735390.573343, false
[- x + x *], 300, 210, 0.002, 0.005, 585335.721524, false
[0 / x x *], 300, 210, 0.002, 0.005, 577533.445355, false
[x - / x *], 300, 210, 0.002, 0.005, 567511.726019, false
[x + x * -], 300, 210, 0.002, 0.005, 609386.656247, false
[* x * x *], 300, 210, 0.002, 0.005, 587341.822275, false
[1 * x x *], 300, 210, 0.002, 0.005, 585600.311377, false
[+ + x x *], 300, 210, 0.002, 0.005, 609142.010117, false
[0 1 x x *], 300, 210, 0.002, 0.005, 609305.19737, false
[x -1 - x *], 300, 175, 0.002, 0.005, 642217.987429, false
