genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x 1 x + *], 300, 7481, 0.002, 0.005, 306538.900381, false
[x x x + *], 300, 7241, 0.002, 0.005, 311726.881468, false
[x 1 x + *], 300, 7481, 0.002, 0.005, 308064.091352, false
[x / x * -], 300, 7524, 0.002, 0.005, 305840.689025, false
[/ x x * +], 300, 7524, 0.002, 0.005, 312039.980246, false
[x x x * *], 300, 5784, 0.002, 0.005, 318458.328715, false
[x * x * /], 300, 7524, 0.002, 0.005, 311247.451503, false
[x 1 x + *], 300, 7481, 0.002, 0.005, 335430.050363, false
[x x * / *], 300, 7524, 0.002, 0.005, 339344.010223, false
[x 1 x + *], 300, 7481, 0.002, 0.005, 341902.775093, false
[x / x * *], 300, 7524, 0.002, 0.005, 311301.95426, false
[x * x * /], 300, 7524, 0.002, 0.005, 306606.292294, false
[x - x * /], 300, 7524, 0.002, 0.005, 316623.228812, false
[x 0 - x *], 300, 7524, 0.002, 0.005, 318905.220503, false
[0 x x * +], 300, 7524, 0.002, 0.005, 317658.39249, false
[x x * 0 +], 300, 7524, 0.002, 0.005, 310245.34602, false
[- x x * +], 300, 7524, 0.002, 0.005, 314349.56035, false
[x - * x *], 300, 7524, 0.002, 0.005, 309599.507065, false
[* x x x *], 300, 7524, 0.002, 0.005, 319074.507197, false
[+ + x x *], 300, 7524, 0.002, 0.005, 311856.387508, false
[x x * * +], 300, 7524, 0.002, 0.005, 316319.309504, false
[x / / x *], 300, 7524, 0.002, 0.005, 321635.923527, false
[- x - x *], 300, 7524, 0.002, 0.005, 575740.931935, false
[x x x * +], 300, 7481, 0.002, 0.005, 576713.409642, false
[x x x + *], 300, 7241, 0.002, 0.005, 586911.585274, false
[x x * x *], 300, 5784, 0.002, 0.005, 584130.415786, false
[1 x x * +], 300, 7518, 0.002, 0.005, 310179.282309, false
[1 x + x *], 300, 7481, 0.002, 0.005, 577002.750154, false
[/ + x x *], 300, 7524, 0.002, 0.005, 592365.296888, false
[x x x + *], 300, 7241, 0.002, 0.005, 308548.658172, false
[x 1 + x *], 300, 7481, 0.002, 0.005, 308714.851029, false
[0 + x x *], 300, 7524, 0.002, 0.005, 304358.744333, false
[x x * + +], 300, 7524, 0.002, 0.005, 308207.283343, false
[- x - x *], 300, 7524, 0.002, 0.005, 721306.565875, false
[x x + x *], 300, 7241, 0.002, 0.005, 684246.921719, false
[1 + x x *], 300, 7524, 0.002, 0.005, 692263.340543, false
[1 x x * +], 300, 7518, 0.002, 0.005, 740229.667069, false
[x * / x *], 300, 7524, 0.002, 0.005, 715851.102765, false
[x x * - *], 300, 7524, 0.002, 0.005, 574387.554066, false
[x * + x *], 300, 7524, 0.002, 0.005, 572099.141008, false
[x x x + *], 300, 7241, 0.002, 0.005, 700560.951487, false
[x x x * *], 300, 5784, 0.002, 0.005, 576016.913482, false
[x 0 + x *], 300, 7524, 0.002, 0.005, 570341.872818, false
[+ x + x *], 300, 7524, 0.002, 0.005, 570390.587046, false
[-1 - x x *], 300, 7524, 0.002, 0.005, 563092.181096, false
[x - x * -], 300, 7524, 0.002, 0.005, 721835.074179, false
[x / x x *], 300, 7524, 0.002, 0.005, 572935.422233, false
[0 x x x *], 300, 7524, 0.002, 0.005, 592960.449257, false
[- / x x *], 300, 7524, 0.002, 0.005, 574815.526184, false
[x 1 x * *], 300, 7524, 0.002, 0.005, 586869.614195, false
[-1 -1 x x *], 300, 7524, 0.002, 0.005, 585531.984768, false
[x x * / +], 300, 7524, 0.002, 0.005, 580121.994756, false
[/ x * x *], 300, 7524, 0.002, 0.005, 578663.215989, false
[/ 1 x x *], 300, 7524, 0.002, 0.005, 582016.074924, false
[x + - x *], 300, 7524, 0.002, 0.005, 589354.260394, false
[/ / x x *], 300, 7524, 0.002, 0.005, 586285.294044, false
[* - x x *], 300, 7524, 0.002, 0.005, 623691.438414, false
[* 0 x x *], 300, 7524, 0.002, 0.005, 587923.026927, false
[x + / x *], 300, 7524, 0.002, 0.005, 316487.491291, false
[/ x x * +], 300, 7524, 0.002, 0.005, 594971.144769, false
[1 x x * +], 300, 7518, 0.002, 0.005, 313047.943828, false
[* x x * /], 300, 7524, 0.002, 0.005, 313849.530315, false
[+ x x * -], 300, 7524, 0.002, 0.005, 316473.178813, false
[x x -1 - *], 300, 7481, 0.002, 0.005, 310797.165277, false
[x x * x +], 300, 7481, 0.002, 0.005, 311739.387006, false
[x x x + *], 300, 7241, 0.002, 0.005, 309427.664919, false
[x -1 - x *], 300, 7481, 0.002, 0.005, 320789.131631, false
[x x * + /], 300, 7524, 0.002, 0.005, 323337.27362, false
[x * + x *], 300, 7524, 0.002, 0.005, 602108.773553, false
[* x x * /], 300, 7524, 0.002, 0.005, 323186.480104, false
[/ - x x *], 300, 7524, 0.002, 0.005, 325518.68289, false
[-1 1 x x *], 300, 7524, 0.002, 0.005, 635180.043694, false
[x x * x *], 300, 5784, 0.002, 0.005, 313514.43686, false
[x x * 1 +], 300, 7518, 0.002, 0.005, 323387.685023, false
[x x * -1 -], 300, 7518, 0.002, 0.005, 321872.580726, false
[+ x x x *], 300, 7524, 0.002, 0.005, 323077.134019, false
[1 x x x *], 300, 7524, 0.002, 0.005, 314093.177669, false
[* x x * +], 300, 7524, 0.002, 0.005, 324814.553619, false
